key,en_source,current_ui_text,context
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Atidaryti this portal with a valid QR session before loading the evaluation preview.,Interface term
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Evaluation preview is unavailable. Reopen the Egzaminuotojas QR session and try again.,Interface term
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Atidaryti this portal with a valid QR session before downloading the Juodraštis Eksportuoti.,Interface term
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Juodraštis Eksportuoti is unavailable. Reopen the Egzaminuotojas QR session and try again.,Interface term
common.open,Open,Atidaryti,Interface term
common.close,Close,Uždaryti,Interface term
common.cancel,Cancel,Cancel,Interface term
common.ready,Ready,Paruošta,Interface term
app.heroTitle,Digital VETcert examination system,Digital VETcert examination system,Interface term
app.dedicatedPortal,Dedicated {role} portal,Dedicated {role} portal,Interface term
qrScanner.scan,Scan {role} QR,Scan {role} QR,Interface term
admin.openExam.title,Admin / Open exam event,Administratorius / Atidaryti exam event,Interface term
admin.openExam.subtitle,"Admin sets centre, date, place and exam language, then sends centre access QR.","Administratorius sets centre, date, place and exam language, then sends centre access QR.",Interface term
admin.centre,Certification centre,Certification centre,Interface term
admin.examLanguage,Exam language,Exam language,Interface term
admin.examDate,Exam date,Exam date,Interface term
admin.place,Place,Place,Interface term
admin.authoring.sectionTitle,A - Create/edit examination materials,A - Create/edit examination materials,Interface term
admin.authoring.sectionDescription,"Structured source of four examination documents. Questions, sections, scoring and examiner guidance are edited here and saved as the final examination package.","Structured source of four examination documents. Klausimass, sections, scoring and examiner guidance are edited here and saved as the final examination package.",Interface term
admin.authoring.panelTitle,Create/edit examination materials,Create/edit examination materials,Interface term
admin.authoring.panelDescription,Edit the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Redaguoti the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Interface term
admin.authoring.loadVet,Load .vet,Įkelti .vet,Interface term
admin.authoring.printPdf,Print / PDF,Print / PDF,Interface term
admin.authoring.createPackage,Create package,Create package,Interface term
admin.authoring.advancedTools,Advanced tools,Advanced tools,Interface term
admin.authoring.hideAdvanced,Hide advanced tools,Hide advanced tools,Interface term
admin.authoring.advancedServiceActions,Advanced / service actions,Advanced / service actions,Interface term
admin.authoring.openCurrent,Open current materials,Atidaryti current materials,Interface term
admin.authoring.openDraft,Open working draft,Atidaryti working draft,Interface term
admin.authoring.saveDraft,Save draft,Išsaugoti draft,Interface term
admin.authoring.saveAdminJson,Save as Admin JSON package,Išsaugoti as Administratorius JSON package,Interface term
admin.authoring.useLatestAdminPackage,Use latest package from Admin workflow,Use latest package from Administratorius workflow,Interface term
admin.authoring.listDrafts,List all drafts,List all drafts,Interface term
admin.authoring.importJson,Import JSON,Importuoti JSON,Interface term
admin.authoring.exportDraft,Export draft,Eksportuoti draft,Interface term
admin.authoring.exportPackageJson,Export package JSON,Eksportuoti package JSON,Interface term
admin.authoring.advancedHelper,"These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.","These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.",Interface term
admin.authoring.savedDrafts,Saved structured drafts,Išsaugota structured drafts,Interface term
admin.authoring.selectDraft,Select draft...,Select draft...,Interface term
admin.authoring.openDraftShort,Open draft,Atidaryti draft,Interface term
admin.authoring.itemsLabel,items,elementai,Interface term
admin.authoring.questionsLabel,questions,klausimai,Interface term
admin.authoring.pointsLabel,marks,balai,Interface term
admin.authoring.manualReviewTitle,Manual document review,Manual document review,Interface term
admin.authoring.manualReviewDescription,"Edit the preface, candidate introduction, sections and questions. This structure is the source for the JSON package and print/PDF.","Redaguoti the preface, candidate introduction, sections and klausimai. This structure is the source for the JSON package and print/PDF.",Interface term
admin.authoring.filterSection,Filter section,Filter section,Interface term
admin.authoring.allSections,All sections,Visi sections,Interface term
admin.authoring.documentTitle,Document title,Document title,Interface term
admin.authoring.prefaceLabel,Preface / document notes,Preface / document notes,Interface term
admin.authoring.candidateIntroLabel,Introductory text for candidates,Introductory text for candidates,Interface term
admin.authoring.sectionsEmpty,Sections are created from the Section field in individual questions.,Skyriuss are created from the Skyrius field in individual klausimai.,Interface term
admin.authoring.addItem,+ item,+ item,Interface term
admin.authoring.noItems,This document has no items yet.,This document has no elementai yet.,Interface term
admin.authoring.noSectionItems,This section has no items yet.,This section has no elementai yet.,Interface term
admin.authoring.noActivePackage,No active package is loaded. Use Load .vet or create a new package.,Ne active package is loaded. Use Įkelti .vet or create a new package.,Interface term
admin.authoring.itemEditorTitle,Edit item,Redaguoti item,Interface term
admin.authoring.idLabel,ID,ID,Interface term
admin.authoring.numberLabel,Number,Numeris,Interface term
admin.authoring.typeLabel,Type,Tipas,Interface term
admin.authoring.maxScoreLabel,Maximum score,Maximum score,Interface term
admin.authoring.sectionFieldLabel,Section,Skyrius,Interface term
admin.authoring.themeLabel,Theme,Tema,Interface term
admin.authoring.questionBodyLabel,Question body,Klausimas body,Interface term
admin.authoring.outdoorQuestionTextLabel,Question body / candidate text,Klausimas body / candidate text,Interface term
admin.authoring.examinerGuidanceLabel,Examiner help / scoring guidance,Egzaminuotojas help / scoring guidance,Interface term
admin.authoring.optionsLabel,"Options, one per line, e.g. A. ...","Options, one per line, e.g. A. ...",Interface term
admin.authoring.correctAnswerLabel,Correct answer,Correct answer,Interface term
admin.authoring.scoringHelpLabel,Examiner help / correct answer / scoring guidance,Egzaminuotojas help / correct answer / scoring guidance,Interface term
admin.authoring.renameFilteredSection,Rename filtered section,Rename filtered section,Interface term
admin.authoring.autosavedLocal,Changes were saved locally.,Changes were saved locally.,Interface term
admin.authoring.autosaveFailed,Local autosave failed.,Local autosave failed.,Interface term
common.duplicate,Duplicate,Dubliuoti,Interface term
common.delete,Delete,Ištrinti,Interface term
admin.openExam.sectionDescription,"The administrator sets the certification centre, date, place and examination language, then sends the Centre access link / QR.","The administrator sets the certification centre, date, place and examination language, then sends the Centras access link / QR.",Interface term
admin.translation.sectionTitle,C - Interface translation,C - Interface translation,Interface term
admin.translation.sectionDescription,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,Interface term
admin.centreAccess.title,Centre access link / QR,Centras access link / QR,Interface term
admin.centreAccess.send,Send centre link / QR,Send centre link / QR,Interface term
admin.centreAccess.scan,Scan centre QR,Scan centre QR,Interface term
admin.multilingual.title,Admin / Multilingual layer,Administratorius / Multilingual layer,Interface term
admin.multilingual.subtitle,UI translations are managed separately from exam content.,UI translations are managed separately from exam content.,Interface term
admin.multilingual.sourceTerms,EN source + national terms,EN source + national terms,Interface term
admin.multilingual.needsReview,needs review,needs review,Interface term
status.openedForCentre,Opened for Centre,Atidarytied for Centras,Interface term
audit.centreAccessSent,Centre access link sent,Centras access link sent,Interface term
status.testImport.loadedStoredFull,Loaded stored test package with {variants} variant(s) and {questions} question(s).,Įkeltied stored test package with {variants} variant(s) and {klausimai} question(s). {questions},Interface term
status.testImport.loadedStored,Loaded stored test package.,Įkeltied stored test package.,Interface term
status.centreAuditExport.unavailable,The Centre Audit Package requires a valid Centre session. Reopen the Centre QR and try again.,The Centras Audit Paketas requires a valid Centras session. Reopen the Centras QR and try again.,Interface term
app.mvpPrototype,Full workflow,Full workflow,Interface term
app.offlineFirst,offline-first,offline-first,Interface term
common.loading,Loading...,Įkeltiing...,Interface term
admin.translation.interfaceOnly,Translation management applies only to the application interface. Exam content comes from the Admin package and must not be changed by UX language.,Translation management applies only to the application interface. Exam content comes from the Administratorius package and must not be changed by UX language.,Interface term
admin.translation.tableTitle,Dedicated UI translation table,Dedicated UI translation table,Interface term
admin.translation.tableHelper,"Every interface term is stored here with its key, English source, current UI translation and context for Admin review.","Every interface term is stored here with its key, English source, current UI translation and context for Administratorius review.",Interface term
admin.translation.source,EN source,EN source,Interface term
admin.translation.current,Current UI text,Dabartinis UI text,Interface term
admin.translation.exportCsv,Export translation CSV,Eksportuoti translation CSV,Interface term
admin.translation.import,Import translation file,Importuoti translation file,Interface term
admin.translation.importHelper,Import UI translations into the currently selected interface language. The file may be CSV exported from this table or a flat JSON dictionary.,Importuoti UI translations into the currently pasirinkta interface language. The file may be CSV exported from this table or a flat JSON dictionary.,Interface term
admin.translation.importConfirm,Importing translations for {language} (from the system setting). Overwrite the current interface?,Importuotiing translations for {language} (from the system setting). Overwrite the current interface?,Interface term
admin.translation.importYes,"Yes, overwrite","Taip, overwrite",Interface term
admin.translation.importNo,No,Ne,Interface term
admin.translation.importReady,{count} translation term(s) found.,{count} translation term(s) found.,Interface term
admin.translation.imported,Translations were imported. Reloading the interface.,Translations were imported. Reloading the interface.,Interface term
admin.translation.importFailed,Translation import failed. Check the file format.,Translation import failed. Check the file format.,Interface term
admin.centreAccess.helper,Generate the centre link only when the package is ready and the exam is open.,Generate the centre link only when the package is ready and the exam is open.,Interface term
admin.centreAccess.copyPrompt,Copy the Centre access link,Copy the Centras access link,Interface term
admin.packagePdf.helper,Certification PDFs are converted into a local JSON package. The application UX language does not change the language or content of exam documents.,Certification PDFs are converted into a local JSON package. The application UX language does not change the language or content of exam documents.,Interface term
admin.packagePdf.convert,Convert 4 PDFs,Convert 4 PDFs,Interface term
admin.packagePdf.loadList,Load list,Įkelti list,Interface term
admin.packagePdf.loadLatest,Load latest,Įkelti latest,Interface term
admin.packagePdf.loadActive,Load active,Įkelti active,Interface term
admin.packagePdf.approve,Approve for Centre,Approve for Centras,Interface term
admin.packagePdf.overrideApprove,Override approval,Override approval,Interface term
centre.package.sectionTitle,A - Load exam package,A - Įkelti exam package,Interface term
centre.package.sectionDescription,Load the .vet package sent by Admin. The package sets the content of tests and forms for further exam preparation.,Įkelti the .vet package sent by Administratorius. The package sets the content of tests and forms for further exam preparation.,Interface term
centre.package.panelTitle,Load the .vet package sent by Admin,Įkelti the .vet package sent by Administratorius,Interface term
centre.package.panelHelper,This step sets the current exam content for the centre. Levels and variants are taken directly from the package.,This step sets the current exam content for the centre. Levels and variants are taken directly from the package.,Interface term
centre.package.cardHelper,"Select VetBara Package 1. The package contains rules, tests and forms for the outdoor session in the relevant language.","Select VetBara Paketas 1. The package contains rules, tests and forms for the outdoor session in the relevant language.",Interface term
centre.package.loadFile,Load .vet,Įkelti .vet,Interface term
centre.package.loadServer,Load from server,Įkelti from server,Interface term
centre.package.defaultLabel,package,package,Interface term
centre.package.activeLabel,active package,active package,Interface term
centre.package.statusLoaded,"Loaded: {label} ({testQuestions} test questions, {outdoorItems} outdoor items).","Įkeltied: {label} ({testKlausimass} test klausimai, {outdoorItems} outdoor elementai). {testQuestions}",Interface term
centre.package.statusLoadingVet,Loading VetBara Package 1 (.vet)...,Įkeltiing VetBara Paketas 1 (.vet)...,Interface term
centre.package.statusLoadingServer,Loading active package from server...,Įkeltiing active package from server...,Interface term
centre.package.errorNoData,The package does not contain Package 1 data.,The package does not contain Paketas 1 data.,Interface term
centre.package.errorImportFailed,Importing the .vet package failed.,Importuotiing the .vet package failed.,Interface term
centre.package.errorServerFailed,Loading the active package failed.,Įkeltiing the active package failed.,Interface term
centre.advancedTools,Advanced tools,Advanced tools,Interface term
centre.advancedTools.helper,"Service options for audit, manual import of older packages and operational checks. A normal exam run usually does not need them.","Service options for audit, manual import of older packages and operational checks. A normal exam run usually does not need them.",Interface term
centre.setup.openSaved,Open saved setup,Atidaryti saved setup,Interface term
centre.fieldSetup.sectionTitle,B - Field site setup,B - Field site setup,Interface term
centre.fieldSetup.sectionDescription,"Preparation of the field part of the exam: test centre, physical trees, Practicing/Consulting A-D assignments, Practicing A data, validation and candidate exports.","Preparation of the field part of the exam: test centre, physical trees, Practicing/Consulting A-D assignments, Practicing A data, validation and candidate exports.",Interface term
centre.people.sectionTitle,C - Candidates and examiners,C - Kandidatass and examiners,Interface term
centre.people.sectionDescription,"Manage candidates, examiners and primary/secondary examiner assignments. Candidate and examiner lists use the same type of edit cards.","Manage candidates, examiners and primary/secondary examiner assignments. Kandidatas and examiner lists use the same type of edit cards.",Interface term
candidate.section.orientation,Orientation,Orientation,Interface term
candidate.section.trees,Tree preparation,Medis preparation,Interface term
field.map.packageStored,Field map package is stored on this tablet.,Field map package is stored on this tablet.,Interface term
examiner.offlinePackage.title,Offline candidate package,Offline candidate package,Interface term
examiner.offlinePackage.helper,"If the backend or internet does not work, upload the JSON package exported from the Candidate portal here.","If the backend or internet does not work, upload the JSON package exported from the Kandidatas portal here.",Interface term
examiner.offlinePackage.import,Import offline package,Importuoti offline package,Interface term
common.remove,Remove,Pašalinti,Interface term
common.saving,Saving...,Saving...,Interface term
centre.setup.save,Save setup,Išsaugoti setup,Interface term
centre.meta.packageLoaded,Package loaded,Paketas loaded,Interface term
centre.meta.waitingForPackage,Waiting for package,Waiting for package,Interface term
centre.meta.peopleCount,{candidates} candidate(s) · {examiners} examiner(s),{candidates} candidate(s) · {examiners} examiner(s),Interface term
centre.meta.checkCount,{count} check(s),{count} check(s),Interface term
centre.candidates.helper,Enter candidates and their exam level.,Enter candidates and their exam level.,Interface term
centre.examiners.helper,Add or edit examiners who will be assigned to candidates.,Add or edit examiners who will be assigned to candidates.,Interface term
centre.accessControl.sectionTitle,D - Access and checks,D - Access and checks,Interface term
centre.accessControl.sectionDescription,"QR links for candidates and examiners, readiness checks and operational exam overview.","QR links for candidates and examiners, readiness checks and operational exam overview.",Interface term
centre.results.title,Candidate results overview,Kandidatas results overview,Interface term
centre.results.helper,Summary of individual candidate results. Result editing takes place in the Examiner interface after clicking the relevant result.,Summary of individual candidate results. Rezultatas editing takes place in the Egzaminuotojas interface after clicking the relevant result.,Interface term
centre.results.candidateNumber,Candidate number,Kandidatas number,Interface term
centre.results.name,Name,Vardas,Interface term
centre.results.testResult,Test result,Testas result,Interface term
centre.results.outdoorResult,Outdoor result,Outdoor result,Interface term
centre.results.reportResult,Report result,Ataskaita result,Interface term
centre.results.answeredCount,{answered} / {total} answered,{answered} / {total} answered,Interface term
centre.results.primary,Primary,Primary,Interface term
centre.results.secondary,Secondary,Secondary,Interface term
centre.results.notRequired,Not required,Net required,Interface term
common.find,Find,Find,Interface term
common.name,Name,Vardas,Interface term
centre.fieldSetup.panelTitle,Field site setup,Field site setup,Interface term
centre.fieldSetup.panelHelper,"Prepare the map and trees, open tablet mode, load changes from the tablet and save the final field setup.","Prepare the map and trees, open tablet mode, load changes from the tablet and save the final field setup.",Interface term
centre.fieldSetup.errorCount,{count} error(s),{count} klaida (-os),Interface term
centre.fieldSetup.noBlockingError,No blocking error,Ne blocking error,Interface term
centre.fieldSetup.requiredAssignments,{ready} / {total} required assignments,{ready} / {total} required assignments,Interface term
centre.fieldSetup.tabletSyncLoaded,Tablet sync loaded,Planšetė sync loaded,Interface term
centre.fieldSetup.tabletAccess,Tablet access,Planšetė access,Interface term
centre.fieldSetup.reopenRequiresPassword,Reopen requires Vetarbo,Reopen requires Vetarbo,Interface term
centre.fieldSetup.openTablet,Open tablet,Atidaryti tablet,Interface term
centre.fieldSetup.loadTabletChanges,Load tablet changes,Įkelti tablet changes,Interface term
centre.fieldSetup.loadTabletChangesTitle,Load changes saved by the tablet,Įkelti changes saved by the tablet,Interface term
centre.fieldSetup.lastSyncLoaded,Last sync loaded: {date},Last sync loaded: {date},Interface term
centre.fieldSetup.siteName,Site name,Site name,Interface term
centre.fieldSetup.examId,Exam ID,Exam ID,Interface term
centre.fieldSetup.referenceCoordinates,Reference coordinates,Reference coordinates,Interface term
centre.fieldSetup.mapPreviewTitle,Field site map preview,Field site map preview,Interface term
centre.fieldSetup.mapPreviewHelper,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,Interface term
centre.fieldSetup.reference,Reference,Reference,Interface term
centre.fieldSetup.centerMarker,Centre,Centras,Interface term
centre.fieldSetup.treeMarker,tree,tree,Interface term
centre.fieldSetup.examCentre,Exam centre,Exam centre,Interface term
centre.fieldSetup.latitude,Latitude,Latitude,Interface term
centre.fieldSetup.longitude,Longitude,Longitude,Interface term
centre.fieldSetup.candidateNote,Candidate note,Kandidatas note,Interface term
centre.fieldSetup.internalNote,Internal note,Internal note,Interface term
centre.fieldSetup.selectedTree,Selected tree,Selected tree,Interface term
centre.fieldSetup.treeName,Tree name,Medis name,Interface term
centre.fieldSetup.assignments,Assignments,Assignments,Interface term
centre.fieldSetup.addAssignment,+ assignment,+ assignment,Interface term
centre.fieldSetup.managementDataTitle,Practicing A · management data,Practicing A · management data,Interface term
centre.fieldSetup.taxon,Taxon,Taxon,Interface term
centre.fieldSetup.heightM,Height m,Height m,Interface term
centre.fieldSetup.stemDiameterCm,Stem diameter cm,Stem diameter cm,Interface term
centre.fieldSetup.crownSpreadM,Crown spread m,Crown spread m,Interface term
centre.fieldSetup.interventionTechnology,Intervention technology,Intervention technology,Interface term
centre.fieldSetup.addTechnology,+ technology,+ technology,Interface term
centre.fieldSetup.technology,Technology,Technology,Interface term
centre.fieldSetup.description,Description,Aprašymas,Interface term
centre.fieldSetup.photos,Photos,Nuotraukos,Interface term
centre.fieldSetup.selectTreeOrCentre,Select a tree or the exam centre on the map.,Select a tree or the exam centre on the map.,Interface term
centre.fieldSetup.validationTitle,Validation,Patikra,Interface term
centre.fieldSetup.validationComplete,Preparation is complete.,Preparation is complete.,Interface term
centre.fieldSetup.error.allRequiredReady,All required Practicing A-D and Consulting A-D trees are already prepared. Add another tree only by changing an existing assignment.,Visi required Practicing A-D and Consulting A-D trees are already prepared. Add another tree only by changing an existing assignment.,Interface term
centre.fieldSetup.error.loadFailed,Field setup could not be loaded.,Field setup could not be loaded.,Interface term
centre.fieldSetup.status.loaded,Field setup loaded.,Field setup loaded.,Interface term
centre.fieldSetup.error.tabletLoadFailed,Tablet changes could not be loaded.,Planšetė changes could not be loaded.,Interface term
centre.fieldSetup.status.tabletChangesLoadedWithId,Tablet changes loaded ({syncId}).,Planšetė changes loaded ({syncId}).,Interface term
centre.fieldSetup.status.tabletChangesLoaded,Tablet changes loaded.,Planšetė changes loaded.,Interface term
centre.fieldSetup.error.saveFailed,Field setup could not be saved.,Field setup could not be saved.,Interface term
centre.fieldSetup.status.saved,Field setup saved.,Field setup saved.,Interface term
centre.fieldSetup.error.coordinateFormat,"Coordinates must use a format such as 49.406706323, 15.129055089.","Coordinates must use a format such as 49.406706323, 15.129055089.",Interface term
centre.fieldSetup.reopenPrompt,Field tablet has already been synced back. Enter Vetarbo password to reopen it:,Field tablet has already been synced back. Enter Vetarbo password to reopen it:,Interface term
centre.fieldSetup.error.tabletLocked,Tablet mode is locked after tablet changes were loaded. Enter the Vetarbo password to reopen it.,Planšetė mode is locked after tablet changes were loaded. Enter the Vetarbo password to reopen it.,Interface term
centre.fieldSetup.validation.centerGps,Exam centre does not have valid GPS coordinates.,Exam centre does not have valid GPS coordinates.,Interface term
centre.fieldSetup.validation.treeGps,{tree} does not have valid GPS coordinates.,{tree} does not have valid GPS coordinates.,Interface term
centre.fieldSetup.validation.missingTree,Missing {level} tree {code}.,Trūksta {level} tree {code}.,Interface term
centre.fieldSetup.validation.duplicateTree,{level} tree {code} is assigned more than once.,{level} tree {code} is assigned more than once.,Interface term
centre.fieldSetup.validation.practicingAMissingData,Practicing A has no management data.,Practicing A has no management data.,Interface term
centre.fieldSetup.validation.practicingATaxon,Practicing A: taxon is missing.,Practicing A: taxon is missing.,Interface term
centre.fieldSetup.validation.practicingAHeight,Practicing A: height is missing.,Practicing A: height is missing.,Interface term
centre.fieldSetup.validation.practicingAStemDiameter,Practicing A: stem diameter is missing.,Practicing A: stem diameter is missing.,Interface term
centre.fieldSetup.validation.practicingACrownSpread,Practicing A: crown spread is missing.,Practicing A: crown spread is missing.,Interface term
centre.fieldSetup.validation.practicingAIntervention,Practicing A: at least one intervention technology is missing.,Practicing A: at least one intervention technology is missing.,Interface term
fieldTablet.defaultTreeName,Tree {index},Medis {index},Interface term
vetcert.rules.title,VETcert Rules reference,VETcert Rules reference,Interface term
vetcert.rules.body,"Official examination rules are the reference document for the certification process. Examination materials, model answers and completed exams are confidential.","Official examination rules are the reference document for the certification process. Examination materials, model atsakymai and completed exams are confidential.",Interface term
vetcert.rules.confidentiality,"Do not show correct answers, answer keys or guiding marking notes to Candidates or Examiners in the assessment interface.","Do not show correct atsakymai, answer keys or guiding marking notes to Kandidatass or Egzaminuotojass in the assessment interface.",Interface term
centre.fieldSetup.choosePhotos,Choose photos,Pasirinkti nuotraukas,Interface term
centre.fieldSetup.noPhotosSelected,No photos selected,Nuotraukų nepasirinkta,Interface term
centre.fieldSetup.photoCount,{count} photo(s) selected,Pasirinkta nuotraukų: {count},Interface term
admin.translation.termSaved,Translation saved locally.,Vertimas išsaugotas lokaliai.,Interface term
admin.translation.clickToEdit,Click to edit this UI text.,Spustelėkite norėdami redaguoti šį UI tekstą.,Interface term
admin.translation.editCurrent,Edit current UI text for {key},Redaguoti dabartinį UI tekstą: {key},Interface term
